,player_id,name_common,year_id,age,team_id,G,Min,MPG,FT%
1603,bradlto01,Tony Bradley,2019,21,UTA,3,36,12.0,50.0
1617,bealbr01,Bradley Beal,2019,25,WAS,82,3028,36.9,80.8
1618,satorto01,Tomas Satoransky,2019,27,WAS,80,2164,27.1,81.9
1619,greenje02,Jeff Green,2019,32,WAS,77,2097,27.2,88.8
1620,bryanth01,Thomas Bryant,2019,21,WAS,72,1496,20.8,78.1
1621,arizatr01,Trevor Ariza,2019,33,WAS,43,1465,34.1,77.7
1622,porteot01,Otto Porter Jr.,2019,25,WAS,41,1191,29.0,76.6
1623,walljo01,John Wall,2019,28,WAS,32,1104,34.5,69.7
1624,morrima02,Markieff Morris,2019,29,WAS,34,883,26.0,78.1
1625,portibo01,Bobby Portis,2019,23,WAS,28,768,27.4,80.9
1626,oubreke01,Kelly Oubre Jr.,2019,23,WAS,29,755,26.0,80.0
1627,randlch01,Chasson Randle,2019,25,WAS,49,743,15.2,69.4
1628,browntr01,Troy Brown Jr.,2019,19,WAS,52,730,14.0,68.1
1629,riverau01,Austin Rivers,2019,26,WAS,29,683,23.6,54.3
1630,parkeja01,Jabari Parker,2019,23,WAS,25,682,27.3,68.4
1631,dekkesa01,Sam Dekker,2019,24,WAS,38,619,16.3,55.6
1632,mahinia01,Ian Mahinmi,2019,32,WAS,34,498,14.6,68.9
1633,mcraejo01,Jordan McRae,2019,27,WAS,27,333,12.3,80.0
1634,howardw01,Dwight Howard,2019,33,WAS,9,230,25.6,60.4
1635,johnswe01,Wesley Johnson,2019,31,WAS,12,157,13.1,70.0
1636,smithja02,Jason Smith,2019,32,WAS,12,130,10.8,83.3
1637,robinde01,Devin Robinson,2019,23,WAS,7,95,13.6,64.3
1638,bakerro01,Ron Baker,2019,25,WAS,4,45,11.3,0.0
1639,paytoga02,Gary Payton II,2019,26,WAS,3,16,5.3,0.0
1640,jenkijo01,John Jenkins,2019,27,WAS,4,14,3.5,0.0
1641,whiteok01,Okaro White,2019,26,WAS,3,6,2.0,0.0
1642,princta02,Taurean Prince,2018,23,ATL,82,2464,30.0,84.4
1643,schrode01,Dennis Schroder,2018,24,ATL,67,2078,31.0,84.9
1644,bazemke01,Kent Bazemore,2018,28,ATL,65,1789,27.5,79.6
1645,collijo01,John Collins,2018,20,ATL,74,1785,24.1,71.5
1646,dedmode01,Dewayne Dedmon,2018,28,ATL,62,1542,24.9,77.9
1647,belinma01,Marco Belinelli,2018,31,ATL,52,1210,23.3,92.7
1648,ilyaser01,Ersan Ilyasova,2018,30,ATL,46,1175,25.5,80.0
1649,taylois01,Isaiah Taylor,2018,23,ATL,67,1167,17.4,70.2
1650,muscami01,Mike Muscala,2018,26,ATL,53,1060,20.0,91.9
1651,delanma01,Malcolm Delaney,2018,28,ATL,54,1014,18.8,80.4
1652,dorsety01,Tyler Dorsey,2018,21,ATL,56,974,17.4,71.4
1653,plumlmi01,Miles Plumlee,2018,29,ATL,55,918,16.7,45.0
1654,babbilu01,Luke Babbitt,2018,28,ATL,37,570,15.4,77.3
1655,cavanty01,Tyler Cavanaugh,2018,23,ATL,39,518,13.3,81.0
1656,bembrde01,DeAndre' Bembry,2018,23,ATL,26,455,17.5,57.6
1657,leeda03,Damion Lee,2018,25,ATL,15,404,26.9,75.9
1658,magetjo01,Josh Magette,2018,28,ATL,18,216,12.0,100.0
1659,whitean01,Andrew White III,2018,24,ATL,15,209,13.9,25.0
1660,morrija01,Jaylen Morris,2018,22,ATL,6,98,16.3,0.0
1661,clevean01,Antonius Cleveland,2018,23,ATL,4,42,10.5,100.0
1662,brussni01,Nicolas Brussino,2018,24,ATL,4,10,2.5,0.0
1663,evansje01,Jeremy Evans,2018,30,ATL,1,5,5.0,0.0
1664,tatumja01,Jayson Tatum,2018,19,BOS,80,2438,30.5,82.6
1665,horfoal01,Al Horford,2018,31,BOS,72,2277,31.6,78.3
1666,brownja02,Jaylen Brown,2018,21,BOS,70,2152,30.7,64.4
1667,roziete01,Terry Rozier,2018,23,BOS,80,2068,25.9,77.2
1668,irvinky01,Kyrie Irving,2018,25,BOS,60,1931,32.2,88.9
1669,smartma01,Marcus Smart,2018,23,BOS,54,1614,29.9,72.9
1670,baynear01,Aron Baynes,2018,31,BOS,81,1485,18.3,75.6
1671,morrima03,Marcus Morris,2018,28,BOS,54,1447,26.8,80.5
1672,ojelese01,Semi Ojeleye,2018,23,BOS,73,1150,15.8,61.0
1673,theisda01,Daniel Theis,2018,25,BOS,63,936,14.9,75.3
1674,larkish01,Shane Larkin,2018,25,BOS,54,775,14.4,86.5
1675,naderab01,Abdel Nader,2018,24,BOS,48,522,10.9,59.0
1676,monrogr01,Greg Monroe,2018,27,BOS,26,496,19.1,79.7
1677,yabusgu01,Guerschon Yabusele,2018,22,BOS,33,235,7.1,68.2
1678,birdja01,Jabari Bird,2018,23,BOS,13,115,8.8,46.2
1679,allenka01,Kadeem Allen,2018,25,BOS,18,107,5.9,77.8
1680,gibsojo01,Jonathan Gibson,2018,30,BOS,4,40,10.0,0.0
1681,silasxa01,Xavier Silas,2018,30,BOS,2,7,3.5,0.0
1682,eddieja01,Jarell Eddie,2018,26,BOS,2,6,3.0,0.0
1683,haywago01,Gordon Hayward,2018,27,BOS,1,5,5.0,0.0
1696,dinwisp01,Spencer Dinwiddie,2018,24,BRK,80,2306,28.8,81.3
1697,crabbal01,Allen Crabbe,2018,25,BRK,75,2197,29.3,85.2
1698,carrode01,DeMarre Carroll,2018,31,BRK,73,2180,29.9,76.4
1699,harrijo01,Joe Harris,2018,26,BRK,78,1975,25.3,82.7
