artist,song,duration_ms,year,top half,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,explicit,explicity binary
Scissor Sisters,Comfortably Numb,266040,2004,0,0.803,0.924,7,-6.466,1,0.0391,0.237,0.0167,0.104,0.788,116.972,"pop, rock, Dance/Electronic",False,0
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,2003,1,0.663,0.465,8,-9.711,0,0.0317,0.555,0.00183,0.125,0.279,127.932,"pop, R&B",False,0
Kanye West,Through The Wire,221226,2004,1,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,hip hop,True,1
Special D.,Come With Me - Radio Edit,185133,2004,1,0.739,0.999,7,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982,pop,False,0
Ludacris,Splash Waterfalls,290760,2003,0,0.734,0.846,11,-6.102,1,0.409,0.101,0.0,0.233,0.702,145.894,"hip hop, pop",True,1
Avril Lavigne,My Happy Ending,242413,2004,1,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,pop,True,1
Dido,White Flag,240040,2003,0,0.512,0.525,5,-6.823,1,0.0401,0.327,3.3e-06,0.081,0.294,169.951,pop,False,0
Eamon,Fuck It (I Don't Want You Back),225106,2004,1,0.828,0.653,0,-6.245,0,0.0653,0.214,3.25e-06,0.0404,0.575,68.507,set(),True,1
Beyoncé,"Me, Myself and I",301133,2003,1,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61,"pop, R&B",False,0
3 Doors Down,Here Without You,238733,2002,1,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,"pop, rock, metal",False,0
Kanye West,All Falls Down,223506,2004,1,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03,hip hop,True,1
Twista,Sunshine (feat. Anthony Hamilton),226013,2004,1,0.926,0.888,11,-5.337,1,0.294,0.261,0.0,0.348,0.819,98.523,"hip hop, pop, R&B",True,1
